ACCELEROMETER X (m/s^2),ACCELEROMETER Y (m/s^2),ACCELEROMETER Z (m/s^2),LOCATION Speed (Kmh),Time in ms
1.9405,1.7873,8.7221,0,16
2.0267,2.2242,9.1075,0,516
2.0195,2.1967,9.1219,0,1016
1.889,2.211,8.9579,0,1516
1.9692,1.8878,9.5098,0,2016
2.9485,1.7753,8.0457,0,2516
-0.7338,2.496,9.8605,0,3016
-7.1563,-0.1927,10.7272,0,3515
-0.2286,3.5662,8.2768,0,4016
-0.4956,4.4772,8.8131,0,4516
-0.2179,3.0478,8.2468,0,5016
0.0611,2.6181,6.2369,0,5516
1.2498,4.1049,12.4068,0,6016
-2.0291,2.3463,8.8825,0,6515
-2.5055,-0.0395,8.594,0,7016
-1.0546,-1.1899,10.2747,0,7516
-1.3611,-1.1612,9.3996,0,8015
-1.2653,-1.1672,9.4379,0,8516
-1.3755,-1.2175,9.5421,0,9016
-1.2857,-1.2665,9.3996,0,9516
-1.3024,-1.1636,9.4439,0,10016
-1.3683,-1.1492,9.4763,0,10516
-1.3874,-1.1696,9.5122,0,11016
-1.3946,-1.2234,9.3829,0,11516
-1.4281,-1.2582,9.4583,0,12016
-1.4269,-1.1337,9.3781,0,12516
-1.2414,-1.2366,9.4595,0,13016
-1.4078,-1.2546,9.5385,0,13516
-1.3982,-1.2222,9.4846,0,14016
-1.3743,-1.2366,9.4954,0,14515
-1.1349,-1.2019,9.4224,0,15016
-1.4281,-1.1241,9.4152,0,15516
-1.3623,-1.1947,9.5337,0,16016
-1.3647,-1.2378,9.4619,0,16516
-1.3731,-1.154,9.5337,0,17015
-1.3623,-1.1863,9.4834,0,17515
-1.3755,-1.233,9.4882,0,18016
-1.3312,-1.1983,9.4056,0,18516
-1.4844,-1.2821,9.3889,0,19017
-1.4593,-1.1624,9.663,0,19516
-1.3791,-1.2019,9.6223,0,20016
-1.2749,-1.0786,9.5086,0,20516
-1.4892,-1.2043,9.5445,0,21016
-1.4832,-1.1791,9.5289,0,21516
-1.4784,-1.2857,9.4942,0,22016
-1.409,-1.1696,9.3829,0,22516
-1.5048,-1.2175,9.4751,0,23016
-1.4305,-1.2426,9.4894,0,23516
-1.312,-1.2007,9.4355,0,24016
-1.3922,-1.1815,9.4655,0,24516
-1.2893,-1.1827,9.4164,0,25016
-1.4856,-1.1636,9.4667,0,25516
-1.245,-1.1911,9.4499,0,26016
-1.2977,-1.2486,9.4439,0,26515
-1.4868,-1.2067,9.4942,0,27016
-1.385,-1.2965,9.5385,0,27515
-1.3695,-1.6628,9.3374,0,28016
-1.4964,-1.9692,9.4439,0,28516
-1.3599,-1.664,9.487,0,29016
-1.3479,-1.8375,9.3853,0,29516
-1.5203,-2.0818,9.2955,0,30016
-1.3671,-1.4856,9.1794,0,30516
-1.482,-1.3443,9.262,0,31016
-0.8356,-1.3707,8.5677,0,31516
-0.9146,-1.336,9.7061,0,32016
-1.5874,-1.142,12.5899,0,32516
-1.4246,-0.9601,9.7504,0,33016
-0.3005,-1.4832,9.3158,0,33516
-0.3675,-1.6975,9.4583,0,34016
-0.7901,-0.6764,9.3434,0,34516
-0.8859,0.3232,9.5589,0,35016
-1.2103,0.0826,9.6367,0,35516
-1.2953,-0.0646,9.6319,0,36016
-1.4162,-1.5335,9.3326,0,36516
-1.3982,-1.2019,9.5086,0,37016
-1.4449,0.4262,9.9323,0,37516
-1.6879,-0.2646,9.9563,0,38016
-1.8064,-0.4812,9.3266,0,38516
-2.1787,-0.5004,9.5158,0,39016
-2.5079,-0.4082,9.7995,0,39517
-2.5726,-0.0862,8.8131,0,40016
-2.7509,-0.3196,9.3051,0,40516
-1.7741,-0.5818,8.6143,0,41015
-1.9908,-0.407,10.0844,0,41516
-2.7809,-0.3747,9.6415,0,42016
-2.5606,0.2945,9.7324,16.09,42516
-2.6815,-0.3124,10.0592,16.09,43016
-2.4684,-0.1401,7.944,16.09,43516
-1.5119,-0.0802,9.5181,16.09,44016
-1.7107,-0.4741,10.2316,16.09,44516
-2.0662,0.3077,9.5062,16.09,45015
-1.0475,-0.5076,10.2412,16.09,45515
-1.5024,-0.0862,10.6566,16.09,46015
-2.2422,-0.9002,8.1642,16.09,46516
-1.8531,-0.2957,7.9248,16.09,47016
-1.5275,-0.9373,9.5241,16.09,47516
-1.4724,-0.644,10.9403,16.09,48016
